Best: 0.792050 using {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.645837 (0.027561) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.406660 (0.117351) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
-0.553445 (1.724694) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adam'}
-0.628038 (1.738803) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.519685 (0.037915) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.654990 (0.092389) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adam'}
-0.565267 (1.715436) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.505030 (0.030794) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.757641 (0.020835) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.618100 (0.104641) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.539832 (0.049139) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.786191 (0.017842) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adam'}
-0.611066 (1.750704) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.551312 (0.012241) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.777200 (0.022787) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adam'}
-0.469107 (1.556025) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.571616 (0.029621) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.789899 (0.011076) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.663764 (0.053581) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.603424 (0.011165) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
-0.513377 (1.819447) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.614595 (0.078499) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.587317 (0.013883) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.781346 (0.015250) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.669233 (0.062306) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.586646 (0.026985) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.692253 (0.066309) with: {'batch_size': 16, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.301461 (0.330260) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.446432 (0.017744) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.703490 (0.019358) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.267244 (0.137970) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.451526 (0.034009) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.672607 (0.006399) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.397244 (0.059026) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.448447 (0.027719) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.633579 (0.018801) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.382428 (0.206887) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.464635 (0.029548) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.742082 (0.025535) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.472356 (0.059701) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.463188 (0.029946) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.711052 (0.006353) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.362221 (0.080603) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.433552 (0.057743) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.621240 (0.052028) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.496557 (0.044346) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.463992 (0.010325) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
-1.738249 (1.784796) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.298252 (0.181004) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.438645 (0.038226) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
-11.110947 (11.466748) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.187712 (0.198525) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.436685 (0.022457) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
-1.825796 (1.800671) with: {'batch_size': 16, 'model__activation': 'tanh', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.146016 (0.028302) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.031317 (0.011718) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.643200 (0.050090) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.134360 (0.007969) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.026802 (0.011313) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.656512 (0.026915) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.123387 (0.011479) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.028509 (0.009832) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.583231 (0.107358) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.193035 (0.017932) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.044131 (0.015990) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.624477 (0.019375) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.200448 (0.013151) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.047572 (0.005118) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.645472 (0.050271) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.184552 (0.017413) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.030541 (0.010846) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.663800 (0.016216) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.249442 (0.004256) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.083166 (0.004871) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.673989 (0.026622) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.258918 (0.011431) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.053192 (0.016819) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.663574 (0.035044) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.195988 (0.038469) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.057470 (0.008757) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.663775 (0.007356) with: {'batch_size': 16, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.622900 (0.041926) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.367217 (0.014486) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.782534 (0.024062) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.643224 (0.009048) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'SGD'}
-0.758976 (1.645678) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.762131 (0.005355) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.646781 (0.015611) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'SGD'}
-0.619510 (1.449707) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
-0.529192 (1.808173) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.616704 (0.048100) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.438246 (0.036035) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.770274 (0.020317) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.670252 (0.026657) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.458317 (0.034363) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.775168 (0.020345) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adam'}
-0.575141 (1.708335) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.464365 (0.025612) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.792050 (0.015756) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.676701 (0.034236) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.524876 (0.043097) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
-0.514719 (1.751182) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adam'}
-1.808582 (1.740185) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'SGD'}
-0.588518 (1.470531) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.750825 (0.045567) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.657971 (0.028817) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.314799 (0.294253) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.776345 (0.011020) with: {'batch_size': 32, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.476392 (0.030010) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.404095 (0.029156) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.672218 (0.016971) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.489499 (0.031619) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.414615 (0.027947) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.641281 (0.023767) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.404927 (0.053515) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.394126 (0.026981) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.569580 (0.029668) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.471066 (0.018220) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.437032 (0.046890) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.671446 (0.050707) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.468707 (0.029389) with: {'batch_size': 32, 'model__activation': 'tanh', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'SGD'}
