Best: 0.674040 using {'model__depth': 2, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.597146 (0.049692) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
0.519797 (0.104813) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
-0.730867 (1.759061) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
-0.536816 (1.662292) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.444753 (0.194492) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.456898 (0.194665) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
-1.793523 (1.784596) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
-0.798778 (1.727907) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
-0.814195 (1.723565) with: {'model__depth': 0, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
-1.799380 (1.776785) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
0.508836 (0.146739) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.442024 (0.257836) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
0.537300 (0.194374) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.322845 (0.425081) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.309195 (0.395392) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
0.462410 (0.215472) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.633653 (0.047374) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
-1.959331 (1.854423) with: {'model__depth': 0, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
0.542618 (0.132736) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
-0.884203 (1.729982) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.630653 (0.078162) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
0.402921 (0.280960) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
-0.528688 (1.667139) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
-0.922273 (1.704505) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
0.404404 (0.149205) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.553072 (0.131826) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
0.536621 (0.186059) with: {'model__depth': 0, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
0.630342 (0.017090) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
0.451638 (0.296947) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.574066 (0.060062) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
0.362895 (0.376043) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.490884 (0.168374) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.558556 (0.113103) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
-0.674291 (1.800203) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
-0.779389 (1.736356) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
-0.725965 (1.836349) with: {'model__depth': 1, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
-0.523464 (1.671481) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
-0.559629 (1.644145) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.621585 (0.089473) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
0.648284 (0.069539) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.667184 (0.053996) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.608305 (0.042364) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
-0.815632 (1.776143) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.411155 (0.308481) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
-0.712799 (1.776436) with: {'model__depth': 1, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
-0.640506 (1.825242) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
-1.951579 (1.865382) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.609052 (0.066131) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
0.640696 (0.033701) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.581163 (0.049915) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
-0.676605 (1.798176) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
0.559781 (0.036106) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.593410 (0.080839) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
-1.862589 (1.765159) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
-0.521328 (1.673382) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
0.517556 (0.008492) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
-1.865139 (1.761572) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
0.674040 (0.055474) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.630684 (0.090029) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.546591 (0.133748) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
-0.537387 (1.662274) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.541731 (0.132397) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
0.436812 (0.296520) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
0.640998 (0.039453) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
-1.963064 (1.849124) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.491250 (0.225648) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
-0.673090 (1.873608) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
-0.495437 (1.691511) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.593275 (0.092089) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
-0.640276 (1.822857) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
-0.634494 (1.828327) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
-0.626288 (1.834187) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
0.653376 (0.007643) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
0.496100 (0.149334) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.634215 (0.103055) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
-0.676321 (1.871463) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.655682 (0.078255) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.504220 (0.174292) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
0.584933 (0.119163) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
